MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
SHOS 01,01Year1,5/4/2000 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,1,1,4,,8,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,2,1,4,,4.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,3,1,4,,8.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,4,2,1,,3,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,5,2,1,,8.5,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,6,2,1,,4,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,7,2,1,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,8,2,1,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,9,2,1,,4.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,10,2,1,,6.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,11,3,15,,10,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,12,3,15,,5.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,13,3,15,,6.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,14,3,15,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,15,3,15,,5.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,16,4,4,,3,3,PIED,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,17,4,4,,6.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
SHOS 01,01Year1,5/4/2000 12:00:00 AM,18,4,4,,5.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,1,1,4,,3,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,2,1,4,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,3,1,4,,4,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,4,1,4,,9,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,5,1,4,,8,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,6,2,1,,4,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,7,2,1,,5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,8,2,1,,4,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,9,2,1,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,10,2,1,,8,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,11,3,15,,5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,12,3,15,,6.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,13,3,15,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year2,5/1/2001 12:00:00 AM,14,4,4,,4.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,1,1,4,,11,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,2,1,4,,8,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,3,1,4,,5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,4,2,1,,4.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,5,2,1,,4,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,6,2,1,,4,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,7,2,1,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,8,2,1,,7.5,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,9,2,1,,5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,10,3,15,,4.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,11,3,15,,6,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,12,4,4,,4.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
SHOS 01,01Year5,5/18/2004 12:00:00 AM,13,4,4,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
SHOS 01,Pre,4/14/1999 12:00:00 AM,1,1,4,,9,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,2,1,4,,8,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,3,1,4,,6,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,4,1,4,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,5,1,4,,4.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel1_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,6,2,1,,4,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,7,2,1,,7,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,8,2,1,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,9,2,1,,8,4,PIED,From FMH DFROTTEN 1056,, Rotten, fuel2_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,10,2,1,,4,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,11,2,1,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,12,2,1,,5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,13,3,15,,7,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,14,4,4,,4,3,PIED,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
SHOS 01,Pre,4/14/1999 12:00:00 AM,15,4,4,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
SHOS 02,01Post,4/21/1999 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
SHOS 02,01Post,4/21/1999 12:00:00 AM,1,1,5,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel4_ALL,,,,,,,,,,
SHOS 02,01Year1,5/3/2000 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
SHOS 02,01Year2,5/8/2001 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
SHOS 02,01Year2,5/8/2001 12:00:00 AM,1,1,0,,3.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 02,01Year5,5/17/2004 12:00:00 AM,,,,,,,,,,,,4,100.000000152,,,,,,,True,
SHOS 02,01Year5,5/17/2004 12:00:00 AM,1,1,0,,4,3,PIED,From FMH DFSOUND 1055,, Sound, fuel2_ALL,,,,,,,,,,
SHOS 02,01Year5,5/17/2004 12:00:00 AM,2,2,0,,4.5,3,PIED,From FMH DFSOUND 1055,, Sound, fuel3_ALL,,,,,,,,,,
